% ARFF file for the page-relevance with some numeric features% 
@relation relevance 
@ATTRIBUTE pressureStats_N NUMERIC 
@ATTRIBUTE pressureStats_MEANN NUMERIC 
@ATTRIBUTE pressureStats_MAX NUMERIC 
@ATTRIBUTE pressureStats_MIN NUMERIC 
@ATTRIBUTE pressureStats_SUM NUMERIC 
@ATTRIBUTE pressureStats_STD NUMERIC 
@ATTRIBUTE pressszieStats_N NUMERIC 
@ATTRIBUTE pressszieStats_MEANN NUMERIC 
@ATTRIBUTE pressszieStats_MAX NUMERIC 
@ATTRIBUTE pressszieStats_MIN NUMERIC 
@ATTRIBUTE pressszieStats_SUM NUMERIC 
@ATTRIBUTE pressszieStats_STD NUMERIC 
@ATTRIBUTE gestureLengthStats_N NUMERIC 
@ATTRIBUTE gestureLengthStats_MEANN NUMERIC 
@ATTRIBUTE gestureLengthStats_MAX NUMERIC 
@ATTRIBUTE gestureLengthStats_MIN NUMERIC 
@ATTRIBUTE gestureLengthStats_SUM NUMERIC 
@ATTRIBUTE gestureLengthStats_STD NUMERIC 
@ATTRIBUTE gestureSpeedStats_N NUMERIC 
@ATTRIBUTE gestureSpeedStats_MEANN NUMERIC 
@ATTRIBUTE gestureSpeedStats_MAX NUMERIC 
@ATTRIBUTE gestureSpeedStats_MIN NUMERIC 
@ATTRIBUTE gestureSpeedStats_SUM NUMERIC 
@ATTRIBUTE gestureSpeedStats_STD NUMERIC 
@ATTRIBUTE gestureZoomStats_N NUMERIC 
@ATTRIBUTE gestureZoomStats_MEANN NUMERIC 
@ATTRIBUTE gestureZoomStats_MAX NUMERIC 
@ATTRIBUTE gestureZoomStats_MIN NUMERIC 
@ATTRIBUTE gestureZoomStats_SUM NUMERIC 
@ATTRIBUTE gestureZoomStats_STD NUMERIC 
@ATTRIBUTE gestureZoominStats_N NUMERIC 
@ATTRIBUTE gestureZoominStats_MEANN NUMERIC 
@ATTRIBUTE gestureZoominStats_MAX NUMERIC 
@ATTRIBUTE gestureZoominStats_MIN NUMERIC 
@ATTRIBUTE gestureZoominStats_SUM NUMERIC 
@ATTRIBUTE gestureZoominStats_STD NUMERIC 
@ATTRIBUTE gestureZoomoutStats_N NUMERIC 
@ATTRIBUTE gestureZoomoutStats_MEANN NUMERIC 
@ATTRIBUTE gestureZoomoutStats_MAX NUMERIC 
@ATTRIBUTE gestureZoomoutStats_MIN NUMERIC 
@ATTRIBUTE gestureZoomoutStats_SUM NUMERIC 
@ATTRIBUTE gestureZoomoutStats_STD NUMERIC 
@ATTRIBUTE gestureMaxScrollXStats_N NUMERIC 
@ATTRIBUTE gestureMaxScrollYStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedStats_N NUMERIC 
@ATTRIBUTE gestureScrollXSpeedStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedStats_MAX NUMERIC 
@ATTRIBUTE gestureScrollXSpeedStats_MIN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedStats_SUM NUMERIC 
@ATTRIBUTE gestureScrollXSpeedStats_STD NUMERIC 
@ATTRIBUTE gestureScrollXSpeedPositiveStats_N NUMERIC 
@ATTRIBUTE gestureScrollXSpeedPositiveStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedPositiveStats_MAX NUMERIC 
@ATTRIBUTE gestureScrollXSpeedPositiveStats_MIN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedPositiveStats_SUM NUMERIC 
@ATTRIBUTE gestureScrollXSpeedPositiveStats_STD NUMERIC 
@ATTRIBUTE gestureScrollXSpeedNegativeStats_N NUMERIC 
@ATTRIBUTE gestureScrollXSpeedNegativeStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedNegativeStats_MAX NUMERIC 
@ATTRIBUTE gestureScrollXSpeedNegativeStats_MIN NUMERIC 
@ATTRIBUTE gestureScrollXSpeedNegativeStats_SUM NUMERIC 
@ATTRIBUTE gestureScrollXSpeedNegativeStats_STD NUMERIC 
@ATTRIBUTE gestureScrollYSpeedStats_N NUMERIC 
@ATTRIBUTE gestureScrollYSpeedStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollYSpeedStats_MAX NUMERIC 
@ATTRIBUTE gestureScrollYSpeedStats_MIN NUMERIC 
@ATTRIBUTE gestureScrollYSpeedStats_SUM NUMERIC 
@ATTRIBUTE gestureScrollYSpeedStats_STD NUMERIC 
@ATTRIBUTE gestureScrollYSpeedPositiveStats_N NUMERIC 
@ATTRIBUTE gestureScrollYSpeedPositiveStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollYSpeedPositiveStats_MAX NUMERIC 
@ATTRIBUTE gestureScrollYSpeedPositiveStats_MIN NUMERIC 
@ATTRIBUTE gestureScrollYSpeedPositiveStats_SUM NUMERIC 
@ATTRIBUTE gestureScrollYSpeedPositiveStats_STD NUMERIC 
@ATTRIBUTE gestureScrollYSpeedNegativeStats_N NUMERIC 
@ATTRIBUTE gestureScrollYSpeedNegativeStats_MEANN NUMERIC 
@ATTRIBUTE gestureScrollYSpeedNegativeStats_MAX NUMERIC 
@ATTRIBUTE gestureScrollYSpeedNegativeStats_MIN NUMERIC 
@ATTRIBUTE gestureScrollYSpeedNegativeStats_SUM NUMERIC 
@ATTRIBUTE gestureScrollYSpeedNegativeStats_STD NUMERIC 
@ATTRIBUTE page_viewing_time NUMERIC 
@ATTRIBUTE selfrelevanceReport NUMERIC 
@data 

182,0.038741652406593406,0.05882353,0.03529412,7.050980737999981,0.005721934710298084,182,0.038741652406593406,0.05882353,0.03529412,7.050980737999981,0.005721934710298084,11,247.8403989079304,487.83088686810845,0.0,2726.244387987234,111.84837203152657,11,1.6360715949828672,13.767905237943914,0.0,17.996787544811536,4.0304840370935215,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0.0,2365.0,201,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,201,0.0,0.0,0.0,0.0,0.0,201,0.1542288557213931,16.0,0.0,31.0,1.1794467039095868,13,1.3076923076923077,4.0,1.0,17.0,0.8548504142651104,188,0.0,0.0,0.0,0.0,0.0,22110,2.0
40,0.0292156864,0.043137256,0.023529412,1.1686274560000003,0.003865869666386573,40,0.0292156864,0.043137256,0.023529412,1.1686274560000003,0.003865869666386573,5,76.69326877998732,255.6539138230134,0.0,383.4663438999366,114.33028202798708,5,0.047613446960623626,0.1986432896837711,0.0,0.23806723480311814,0.0861368131634252,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0.0,188.0,26,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,26,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,26,0.0,0.0,0.0,0.0,0.0,12321,2.0
54,0.05199709625925926,0.07058824,0.02745098,2.807843198000002,0.01135519089626439,54,0.05199709625925926,0.07058824,0.02745098,2.807843198000002,0.01135519089626439,4,182.2688579493373,262.39919604938285,3.4075240805902234,729.0754317973492,120.38670442949253,4,0.15447286074550198,0.3697561264030609,0.027930525250739534,0.617891442982008,0.14865768959271133,13,0.9877363972018567,1.15625,0.39999999999999997,12.840573163624137,0.19785128914251943,2,0.590625,0.78125,0.39999999999999997,1.18125,0.26958446032737127,11,1.059938469420376,1.15625,1.0128205128205128,11.659323163624137,0.049321754834888924,198.0,286.0,24,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,24,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,24,0.0,0.0,0.0,0.0,0.0,14388,3.0
61,0.03162970193442623,0.043137256,0.023529412,1.9294118180000008,0.0077731804234899395,61,0.03162970193442623,0.043137256,0.023529412,1.9294118180000008,0.0077731804234899395,4,171.0305469539309,414.6454496450423,0.0,684.1221878157236,175.08334149714543,4,0.15359982869509028,0.3525896680655121,0.0,0.6143993147803611,0.1551092682378675,2,1.3663458968190323,1.744186046511628,0.9885057471264368,2.7326917936380646,0.5343466641043491,1,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.0,1,1.744186046511628,1.744186046511628,1.744186046511628,1.744186046511628,0.0,0.0,463.0,49,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,49,0.0,0.0,0.0,0.0,0.0,49,0.10204081632653066,1.0,0.0,5.0,0.3058388709205986,1,1.0,1.0,1.0,1.0,0.0,48,-0.08333333333333334,0.0,-1.0,-4.0,0.27931019386546424,5751,3.0
49,0.053381354224489794,0.08627451,0.023529412,2.615686357,0.017643724876646023,49,0.053381354224489794,0.08627451,0.023529412,2.615686357,0.017643724876646023,7,139.98479900657995,204.470591810017,0.0,979.8935930460596,66.77334358626803,7,1.1524817850636173,3.154318107405773,0.0,8.067372495445323,1.1281661807658658,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0.0,303.0,50,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,50,0.0,0.0,0.0,0.0,0.0,50,0.1,1.0,0.0,5.0,0.3030457633656631,1,1.0,1.0,1.0,1.0,0.0,49,-0.0816326530612245,0.0,-1.0,-4.0,0.276641667586244,3459,2.0
61,0.08158148760655737,0.15294118,0.03137255,4.976470743999993,0.040859784623134,61,0.08158148760655737,0.15294118,0.03137255,4.976470743999993,0.040859784623134,5,271.9797213958085,401.8868362811056,165.50811747572618,1359.8986069790426,102.32739350645225,5,0.6291568670686662,0.8113143013515989,0.39292357080127166,3.145784335343331,0.20745063630303404,14,1.0072472073392702,1.203883495145631,0.8,14.101460902749784,0.12291814132753742,6,0.8892075776925017,0.970873786407767,0.8,5.335245466155009,0.07503762519153563,8,1.0957769295743467,1.203883495145631,1.0241935483870968,8.766215436594774,0.05601257301388565,412.0,1011.0,27,0.14814814814814817,1.0,0.0,4.0,0.3620139928982458,1,1.0,1.0,1.0,1.0,0.0,26,-0.11538461538461536,0.0,-1.0,-3.0,0.3258125936084212,27,0.37037037037037046,4.0,0.0,10.0,0.8388704928078614,2,1.0,1.0,1.0,2.0,0.0,25,-0.24,0.0,-2.0,-6.0,0.5228129047119373,63625,4.0
328,0.04813486460365853,0.07450981,0.019607844,15.788235590000008,0.010133118807805314,328,0.04813486460365853,0.07450981,0.019607844,15.788235590000008,0.010133118807805314,22,286.2511307503898,647.0397210016831,4.867874219524808,6297.524876508576,140.62314218026106,22,0.7309752891385013,2.9145933378454196,0.022126700997840035,16.081456361047028,0.7285918340478207,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0.0,2744.0,359,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,359,0.0,0.0,0.0,0.0,0.0,359,1.0501392757660175,81.0,0.0,377.0,5.051991557359526,48,1.3541666666666665,6.0,1.0,65.0,0.9997783442286861,311,-0.36012861736334406,0.0,-9.0,-112.0,0.8065569892776312,56190,3.0
364,0.055656109870879114,0.101960786,0.019607844,20.258823992999968,0.019639728335627583,364,0.055656109870879114,0.101960786,0.019607844,20.258823992999968,0.019639728335627583,33,207.07908523230554,490.8577545581638,0.0,6833.609812666084,81.75078957810713,33,0.8517040332015082,8.610588395126554,0.0,28.10623309564977,1.4445904167069883,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,849.0,3611.0,420,0.033333333333333416,4.0,0.0,14.0,0.2992964436430947,3,1.3333333333333333,2.0,1.0,4.0,0.5773502691896257,417,-0.014388489208633158,0.0,-2.0,-6.0,0.13792477277163256,420,0.5428571428571415,16.0,0.0,228.0,2.070493105016344,37,2.1621621621621627,4.0,1.0,80.0,1.0411935862672625,383,-0.036553524804177576,0.0,-2.0,-14.0,0.20135828459939356,58653,2.0
41,0.06073649146341463,0.06666667,0.03529412,2.4901961500000005,0.007290425299747113,41,0.06073649146341463,0.06666667,0.03529412,2.4901961500000005,0.007290425299747113,2,298.9804288524829,320.7953719452978,277.1654857596679,597.9608577049657,30.850988384256183,2,0.3971793804620629,0.40453388643795435,0.3898248744861714,0.7943587609241258,0.01040084209565968,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0,NaN,NaN,NaN,0.0,NaN,0.0,364.0,38,0.0,0.0,0.0,0.0,0.0,0,NaN,NaN,NaN,0.0,NaN,38,0.0,0.0,0.0,0.0,0.0,38,0.10526315789473689,1.0,0.0,4.0,0.3110117477759048,3,1.0,1.0,1.0,3.0,0.0,35,-0.028571428571428564,0.0,-1.0,-1.0,0.16903085094570333,3314,6.0
